nom_dep;annee;population_municipale
Rhône;2016;1835903
Hérault;2016;1132481
Bouches-du-Rhône;2016;2019717
Isère;2016;1252912
Gironde;2016;1566679
Nord;2016;2603723
Paris;2016;2190327
Ille-et-Vilaine;2016;1051779
Haute-Garonne;2016;1348183
Rhône;2017;1843319
Hérault;2017;1144892
Bouches-du-Rhône;2017;2024162
Isère;2017;1258722
Gironde;2017;1583384
Nord;2017;2604361
Paris;2017;2187526
Ille-et-Vilaine;2017;1060199
Haute-Garonne;2017;1362672
Rhône;2018;1859524
Hérault;2018;1159220
Bouches-du-Rhône;2018;2034357
Isère;2018;1263563
Gironde;2018;1601845
Nord;2018;2606234
Paris;2018;2175601
Ille-et-Vilaine;2018;1069228
Haute-Garonne;2018;1380672
Rhône;2019;1875747
Hérault;2019;1175623
Bouches-du-Rhône;2019;2043110
Isère;2019;1271166
Gironde;2019;1623749
Nord;2019;2608346
Paris;2019;2165423
Ille-et-Vilaine;2019;1079498
Haute-Garonne;2019;1400039
Rhône;2020;1883437
Hérault;2020;1188973
Bouches-du-Rhône;2020;2048070
Isère;2020;1277513
Gironde;2020;1636391
Nord;2020;2607746
Paris;2020;2145906
Ille-et-Vilaine;2020;1088855
Haute-Garonne;2020;1415757
Rhône;2021;1893692
Hérault;2021;1201883
Bouches-du-Rhône;2021;2056943
Isère;2021;1284948
Gironde;2021;1654970
Nord;2021;2611293
Paris;2021;2133111
Ille-et-Vilaine;2021;1098325
Haute-Garonne;2021;1434367
