Code departement;nb_transactions;prix_moyen;prix_median;volume_total
01;38589;307831.0;170000.0;11878903753.0
02;29233;167567.0;89000.0;4898491716.0
03;26928;412725.0;82500.0;11113854441.0
04;12682;204446.0;107000.0;2592788977.0
05;14104;199421.0;115000.0;2812631865.0
06;76855;989917.0;274880.0;76080043737.0
07;29294;172096.0;104000.0;5041387946.0
08;16175;203627.0;80000.0;3293669176.0
09;21127;132069.0;60000.0;2790230329.0
10;19853;391484.0;100000.0;7772130971.0
11;30804;250456.0;102000.0;7715060085.0
12;26852;134981.0;80000.0;3624506070.0
13;80692;3032242.0;270000.0;244677710013.0
14;44162;381814.0;175642.0;16861663767.0
15;12950;116862.0;71000.0;1513362760.0
16;30124;179798.0;84788.0;5416239387.0
17;50850;337265.0;143000.0;17149909457.0
18;21456;203238.0;85172.0;4360674434.0
19;22921;167740.0;80000.0;3844775471.0
21;32322;264606.0;126000.0;8552590192.0
22;45290;259891.0;125000.0;11770445871.0
23;21220;87831.0;42000.0;1863766727.0
24;42291;194052.0;108000.0;8206653329.0
25;28857;206447.0;125000.0;5957437734.0
26;28119;291788.0;160000.0;8204773407.0
27;28430;263537.0;160000.0;7492359860.0
28;24190;258662.0;144000.0;6257033721.0
29;53531;206892.0;140000.0;11075111339.0
2A;7467;494399.0;220000.0;3691675810.0
2B;9485;258507.0;130000.0;2451939406.0
30;42713;294336.0;152000.0;12571961668.0
31;66379;631695.0;194000.0;41931264171.0
32;18650;225943.0;130000.0;4213828148.0
33;82140;894461.0;222000.0;73471043894.0
34;69038;647458.0;170000.0;44699190062.0
35;56204;402486.0;175000.0;22621333658.0
36;20191;152566.0;60000.0;3080467267.0
37;37142;404244.0;142300.0;15014430796.0
38;57288;531005.0;175995.0;30420199039.0
39;18041;209013.0;90500.0;3770807298.0
40;31312;299552.0;184722.0;9379557011.0
41;26262;233570.0;105000.0;6134022849.0
42;43730;280878.0;115000.0;12282791670.0
43;22212;93024.0;38950.0;2066251598.0
44;72535;466891.0;190000.0;33865951096.0
45;34721;395146.0;142800.0;13719853952.0
46;21876;148043.0;84000.0;3238594143.0
47;25345;313357.0;130000.0;7942024825.0
48;9007;644287.0;52260.0;5803092115.0
49;47629;274639.0;150000.0;13080791334.0
50;38765;164645.0;118500.0;6382464756.0
51;27185;314397.0;138500.0;8546872029.0
52;13751;110153.0;37000.0;1514711887.0
53;21157;147536.0;113000.0;3121429026.0
54;39115;294580.0;126298.0;11522504490.0
55;14902;113466.0;48355.0;1690865481.0
56;47535;266454.0;165343.0;12665891983.0
58;18010;105256.0;62000.0;1895660852.0
59;93064;768970.0;163000.0;71563430682.0
60;34986;861643.0;159860.0;30145429479.0
61;20139;284915.0;101500.0;5737897386.0
62;51688;278989.0;135360.0;14420408799.0
63;43598;234604.0;90000.0;10228274460.0
64;38634;331329.0;190958.0;12800580957.0
65;17682;165114.0;100000.0;2919539044.0
66;31585;273816.0;131423.0;8648482595.0
69;74316;660256.0;249000.0;49067589367.0
70;18990;96234.0;50000.0;1827492342.0
71;40539;302016.0;95650.0;12243445778.0
72;33316;180042.0;105000.0;5998288532.0
73;41108;459565.0;166650.0;18891792387.0
74;59477;588539.0;276000.0;35004532434.0
75;74176;3759452.0;470000.0;278861114591.0
76;51646;322693.0;165000.0;16665801607.0
77;61340;1197917.0;219000.0;73480251847.0
78;46041;1157169.0;282190.0;53277202025.0
79;29463;127019.0;81000.0;3742367678.0
80;27604;319247.0;125000.0;8812499554.0
81;26810;201903.0;125000.0;5413022810.0
82;17972;223182.0;138275.0;4011035109.0
83;72785;1684066.0;285300.0;122574716424.0
84;29903;825829.0;215000.0;24694769627.0
85;48833;232877.0;150000.0;11372066927.0
86;31806;185279.0;90000.0;5892998557.0
87;31820;193152.0;86000.0;6146086695.0
88;26358;120740.0;68000.0;3182457443.0
89;26906;200608.0;78464.0;5397562861.0
90;6251;280027.0;139000.0;1750449875.0
91;40847;1466189.0;232925.0;59889407263.0
92;57543;3879666.0;449000.0;223247640181.0
93;50264;10503836.0;350000.0;527964816306.0
94;43902;1939625.0;330000.0;85153402613.0
95;37545;1761549.0;252300.0;66137354729.0
971;5723;519487.0;165000.0;2973024879.0
972;5646;609133.0;194762.0;3439162985.0
973;3348;834914.0;200000.0;2795292192.0
974;18750;2722231.0;262000.0;51041838844.0
